Codice ISTAT,Codice Regione,Codice Provincia,Codice Comune,Regione,Provincia,Comune,Latitudine,Longitudine
008052,ITC3,ITC31,008052,Liguria,Imperia,San Bartolomeo al Mare,43.922924,8.101152
011023,ITC3,ITC34,011023,Liguria,La Spezia,Riccò del Golfo di Spezia,44.1537194,9.7638623
009041,ITC3,ITC32,009041,Liguria,Savona,Nasino,44.1137497,8.0317127
009005,ITC3,ITC32,009005,Liguria,Savona,Altare,44.3359819,8.3399306
009007,ITC3,ITC32,009007,Liguria,Savona,Arnasco,44.078228,8.107449
011027,ITC3,ITC34,011027,Liguria,La Spezia,Sarzana,44.1131762,9.9599823
010024,ITC3,ITC33,010024,Liguria,Genova,Fontanigorda,44.54605,9.304466
008010,ITC3,ITC31,008010,Liguria,Imperia,Borgomaro,43.974924,7.945147
008051,ITC3,ITC31,008051,Liguria,Imperia,Rocchetta Nervina,43.890619,7.599642
008004,ITC3,ITC31,008004,Liguria,Imperia,Armo,44.0879649,7.9147826
008019,ITC3,ITC31,008019,Liguria,Imperia,Chiusanico,43.9724065,7.9910739
009004,ITC3,ITC32,009004,Liguria,Savona,Albisola Superiore,44.339838,8.509353
009035,ITC3,ITC32,009035,Liguria,Savona,Magliolo,44.1914858,8.2503958
011008,ITC3,ITC34,011008,Liguria,La Spezia,Calice al Cornoviglio,44.2434732,9.8367245
009052,ITC3,ITC32,009052,Liguria,Savona,Quiliano,44.292536,8.412652
009032,ITC3,ITC32,009032,Liguria,Savona,Giusvalla,44.447939,8.394149
011013,ITC3,ITC34,011013,Liguria,La Spezia,Follo,44.1711511,9.841252217661719
009023,ITC3,ITC32,009023,Liguria,Savona,Cengio,44.3902587,8.2079522
008016,ITC3,ITC31,008016,Liguria,Imperia,Ceriana,43.8807025,7.7745643
009047,ITC3,ITC32,009047,Liguria,Savona,Pallare,44.3272753,8.2754352
008026,ITC3,ITC31,008026,Liguria,Imperia,Diano Castello,43.9237407,8.0671862
008047,ITC3,ITC31,008047,Liguria,Imperia,Prelà,43.9263186,7.9364801
009020,ITC3,ITC32,009020,Liguria,Savona,Castelbianco,44.1118166,8.0709079
010045,ITC3,ITC33,010045,Liguria,Genova,Propata,44.5655702,9.1859403
010048,ITC3,ITC33,010048,Liguria,Genova,Rezzoaglio,44.5259967,9.387267
010047,ITC3,ITC33,010047,Liguria,Genova,Recco,44.3652396,9.1462995
011029,ITC3,ITC34,011029,Liguria,La Spezia,Varese Ligure,44.3760527,9.5926994
010004,ITC3,ITC33,010004,Liguria,Genova,Bogliasco,44.3790556,9.0679508
008015,ITC3,ITC31,008015,Liguria,Imperia,Castel Vittorio,43.9285566,7.674434
009060,ITC3,ITC32,009060,Liguria,Savona,Testico,44.005626,8.029249
010021,ITC3,ITC33,010021,Liguria,Genova,Davagna,44.4669525,9.0909582
010019,ITC3,ITC33,010019,Liguria,Genova,Coreglia Ligure,44.3829,9.2643137
009010,ITC3,ITC32,009010,Liguria,Savona,Bergeggi,44.249735,8.443353
011003,ITC3,ITC34,011003,Liguria,La Spezia,Beverino,44.2059509,9.7857299
010007,ITC3,ITC33,010007,Liguria,Genova,Camogli,44.349247,9.158863
010026,ITC3,ITC33,010026,Liguria,Genova,Gorreto,44.6048462,9.2912637
011018,ITC3,ITC34,011018,Liguria,La Spezia,Maissana,44.3373132,9.5363278
010036,ITC3,ITC33,010036,Liguria,Genova,Moconesi,44.4375998,9.2147076
009043,ITC3,ITC32,009043,Liguria,Savona,Onzo,44.0702888,8.0500191
010053,ITC3,ITC33,010053,Liguria,Genova,San Colombano Certenoli,44.3992532,9.3288048
009022,ITC3,ITC32,009022,Liguria,Savona,Celle Ligure,44.3463235,8.5444342
011032,ITC3,ITC34,011032,Liguria,La Spezia,Zignago,44.2972458,9.749064
009026,ITC3,ITC32,009026,Liguria,Savona,Cosseria,44.3683143,8.2348661
011031,ITC3,ITC34,011031,Liguria,La Spezia,Vezzano Ligure,44.14677475,9.87632698298859
010061,ITC3,ITC33,010061,Liguria,Genova,Tiglieto,44.5245575,8.6192573
010031,ITC3,ITC33,010031,Liguria,Genova,Lumarzo,44.4528876,9.1326199
008006,ITC3,ITC31,008006,Liguria,Imperia,Badalucco,43.9155573,7.8472946
008008,ITC3,ITC31,008008,Liguria,Imperia,Bordighera,43.7850512,7.6591094
008022,ITC3,ITC31,008022,Liguria,Imperia,Civezza,43.8798564,7.9513674
010060,ITC3,ITC33,010060,Liguria,Genova,Sori,44.3733735,9.1044467
010051,ITC3,ITC33,010051,Liguria,Genova,Rossiglione,44.5639606,8.6685132
008064,ITC3,ITC31,008064,Liguria,Imperia,Vasia,43.93266,7.9532267
009029,ITC3,ITC32,009029,Liguria,Savona,Finale Ligure,44.1689049,8.3436524
010041,ITC3,ITC33,010041,Liguria,Genova,Neirone,44.4546639,9.1905114
008041,ITC3,ITC31,008041,Liguria,Imperia,Pietrabruna,43.889722,7.902948
