DATAFLOW,FREQ,RESIDENCE_TERR,DATA_TYPE,MAIN_DESTINATION,TYPE_TRIP,MAIN_TYPE_ACCOMMODATION,SEX,AGE,LABPROF_STATUS_C,TIME_PERIOD,OBS_VALUE,OBS_STATUS,NOTE_DS,NOTE_RESIDENCE_TERR,NOTE_DATA_TYPE,NOTE_MAIN_DESTINATION,NOTE_TYPE_TRIP,NOTE_MAIN_TYPE_ACCOMMODATION,NOTE_SEX,NOTE_AGE,NOTE_LABPROF_STATUS_C,NOTE_TIME_PERIOD,BASE_PER,UNIT_MEAS,UNIT_MULT
IT1:68_357(1.0),A,IT,NI_15_OVER_ABS_1,TOTAL,BUS,9,9,Y_GE15,1B1,2022,6655,,,,,,,,,,,,,,
IT1:68_357(1.0),A,IT,NI_15_OVER_ABS_1,TOTAL,BUS,9,9,Y_GE15,1B1,2023,9434,,,,,,,,,,,,,,
IT1:68_357(1.0),A,IT,NI_15_OVER_ABS_1,TOTAL,BUS,9,9,Y_GE15,1B2,2016,2252,,,,,,,,,,CONDIZIONE_DICH2__1B2_N1,,,,
IT1:68_357(1.0),A,IT,NI_15_OVER_ABS_1,TOTAL,BUS,9,9,Y_GE15,1B2,2017,2740,,,,,,,,,,CONDIZIONE_DICH2__1B2_N1,,,,
IT1:68_357(1.0),A,IT,NI_15_OVER_ABS_1,TOTAL,BUS,9,9,Y_GE15,1B2,2018,5470,,,,,,,,,,CONDIZIONE_DICH2__1B2_N1,,,,
IT1:68_357(1.0),A,IT,NI_15_OVER_ABS_1,TOTAL,BUS,9,9,Y_GE15,1B2,2019,3899,,,,,,,,,,CONDIZIONE_DICH2__1B2_N1,,,,
IT1:68_357(1.0),A,IT,NI_15_OVER_ABS_1,TOTAL,BUS,9,9,Y_GE15,1B2,2020,972,,,,,,,,,,CONDIZIONE_DICH2__1B2_N1,,,,
IT1:68_357(1.0),A,IT,NI_15_OVER_ABS_1,TOTAL,BUS,9,9,Y_GE15,1B2,2021,1879,,,,,,,,,,CONDIZIONE_DICH2__1B2_N1,,,,
IT1:68_357(1.0),A,IT,NI_15_OVER_ABS_1,TOTAL,BUS,9,9,Y_GE15,1B2,2022,2534,,,,,,,,,,CONDIZIONE_DICH2__1B2_N1,,,,
IT1:68_357(1.0),A,IT,NI_15_OVER_ABS_1,TOTAL,BUS,9,9,Y_GE15,1B2,2023,2006,,,,,,,,,,CONDIZIONE_DICH2__1B2_N1,,,,
IT1:68_357(1.0),A,IT,NI_15_OVER_ABS_1,TOTAL,BUS,9,9,Y_GE15,2,2016,3709,,,,,,,,,,,,,,
IT1:68_357(1.0),A,IT,NI_15_OVER_ABS_1,TOTAL,BUS,9,9,Y_GE15,2,2017,4635,,,,,,,,,,,,,,
IT1:68_357(1.0),A,IT,NI_15_OVER_ABS_1,TOTAL,BUS,9,9,Y_GE15,2,2018,5810,,,,,,,,,,,,,,
IT1:68_357(1.0),A,IT,NI_15_OVER_ABS_1,TOTAL,BUS,9,9,Y_GE15,2,2019,2287,,,,,,,,,,,,,,
IT1:68_357(1.0),A,IT,NI_15_OVER_ABS_1,TOTAL,BUS,9,9,Y_GE15,2,2020,1337,,,,,,,,,,,,,,
IT1:68_357(1.0),A,IT,NI_15_OVER_ABS_1,TOTAL,BUS,9,9,Y_GE15,2,2021,2671,,,,,,,,,,,,,,
IT1:68_357(1.0),A,IT,NI_15_OVER_ABS_1,TOTAL,BUS,9,9,Y_GE15,2,2022,1628,,,,,,,,,,,,,,
IT1:68_357(1.0),A,IT,NI_15_OVER_ABS_1,TOTAL,BUS,9,9,Y_GE15,2,2023,913,,,,,,,,,,,,,,
IT1:68_357(1.0),A,IT,NI_15_OVER_ABS_1,TOTAL,BUS,9,9,Y_GE15,2B,2016,505,,,,,,,,,,,,,,
IT1:68_357(1.0),A,IT,NI_15_OVER_ABS_1,TOTAL,BUS,9,9,Y_GE15,2B,2017,2075,,,,,,,,,,,,,,
IT1:68_357(1.0),A,IT,NI_15_OVER_ABS_1,TOTAL,BUS,9,9,Y_GE15,2B,2018,478,,,,,,,,,,,,,,
IT1:68_357(1.0),A,IT,NI_15_OVER_ABS_1,TOTAL,BUS,9,9,Y_GE15,2B,2019,461,,,,,,,,,,,,,,
IT1:68_357(1.0),A,IT,NI_15_OVER_ABS_1,TOTAL,BUS,9,9,Y_GE15,2B,2020,355,,,,,,,,,,,,,,
IT1:68_357(1.0),A,IT,NI_15_OVER_ABS_1,TOTAL,BUS,9,9,Y_GE15,2B,2021,185,,,,,,,,,,,,,,
IT1:68_357(1.0),A,IT,NI_15_OVER_ABS_1,TOTAL,BUS,9,9,Y_GE15,2B,2022,286,,,,,,,,,,,,,,
IT1:68_357(1.0),A,IT,NI_15_OVER_ABS_1,TOTAL,BUS,9,9,Y_GE15,2B,2023,52,,,,,,,,,,,,,,
IT1:68_357(1.0),A,IT,NI_15_OVER_ABS_1,TOTAL,BUS,9,9,Y_GE15,2D2,2016,3204,,,,,,,,,,,,,,
IT1:68_357(1.0),A,IT,NI_15_OVER_ABS_1,TOTAL,BUS,9,9,Y_GE15,2D2,2017,2560,,,,,,,,,,,,,,
IT1:68_357(1.0),A,IT,NI_15_OVER_ABS_1,TOTAL,BUS,9,9,Y_GE15,2D2,2018,5331,,,,,,,,,,,,,,
IT1:68_357(1.0),A,IT,NI_15_OVER_ABS_1,TOTAL,BUS,9,9,Y_GE15,2D2,2019,1826,,,,,,,,,,,,,,
IT1:68_357(1.0),A,IT,NI_15_OVER_ABS_1,TOTAL,BUS,9,9,Y_GE15,2D2,2020,982,,,,,,,,,,,,,,
IT1:68_357(1.0),A,IT,NI_15_OVER_ABS_1,TOTAL,BUS,9,9,Y_GE15,2D2,2021,2486,,,,,,,,,,,,,,
IT1:68_357(1.0),A,IT,NI_15_OVER_ABS_1,TOTAL,BUS,9,9,Y_GE15,2D2,2022,1342,,,,,,,,,,,,,,
